Item;SKU;Descrição;Qtd. Itens;Unid Med;Des Categoria;Peso Liquido;Peso Bruto SKU;Altura;Largura;Comprimento;Volume m3;Qtd. CX Altura;Qtd. CX Lastro;Cod. Barras;Clasificação ABC;Caixa
48LUMIPLAY00;48LUMIPLAY00;LUMINARIA DE MESA LED LUMI PLAY   ;1;PC;LAMPADA;1;0,468;0,17;0,13;0,13;0,002873;6;135;;;UNIDADE
48LUMIPLAY00;48LUMIPLAY01;LUMINARIA DE MESA LED LUMI PLAY   ;30;PC;LAMPADA;1;15;0,36;0,4;0,665;0,09576;3;3;;;MASTER
48LUMIPLAYB0;48LUMIPLAYB0-UN;LUMINARIA DE MESA LED LUMI PLAY BRANCA;1;PC;LAMPADA;1;0,458;0,165;0,13;0,13;0,002789;8;45;7,90841E+12;;UNIDADE
48LUMIPLAYB0;48LUMIPLAYB0;LUMINARIA DE MESA LED LUMI PLAY BRANCA;30;PC;LAMPADA;1;15;0,35;0,4;0,66;0,0924;3;3;7,90841E+12;;MASTER
48LUMIPLAYP0;48LUMIPLAYP0;48LUMIPLAYP0;1;UN;AUTOMACAO;0,001;0,275;0,001;0,27;0,36;0,000097;2;8;;;UNIDADE
48LUMIPLAYP0;48LUMIPLAYP0CX ;LUMINARIA LED, TIPO MESA/ABAJUR   ;30;UN;LAMPADA;0,001;0,01;0,01;0,01;0,1;0,00001;2;8;;;MASTER
48LUMIPLAYW0;48LUMIPLAYW0;LUMINARIA LED TIPO MESA ABAJUR EMBALAG;1;UN;LAMPADA;1;0,1;0,1;0,1;0,1;0,001;2;8;7,90841E+12;;UNIDADE
48LUMIPLAYW0;48LUMIPLAYW0CX ;LUMINARIA LED TIPO MESA ABAJUR EMBALAG;30;UN;LAMPADA;1;0,1;0,01;0,01;0,01;0,000001;2;8;7,90841E+12;;MASTER
48LUMMESAB00;48LUMMESAB00;48LUMMESAB00;1;PC;LAMPADA;0,001;0,22;0,17;0,1;0,1;0,0017;6;100;;;UNIDADE
48LUMMESAB00;48LUMMESAB00CX ;LUMINARIA LED, TIPO MESA/ ABAJUR, EMBALAGEM TIPO CAIXA COR BRANCA BOTAO TOUC;10;PC;LAMPADA;0,001;2,2;0,2;0,23;0,45;0,0207;6;10;;;MASTER
48LUMMESAP00;48LUMMESAP00;LUMINARIA LED, TIPO MESA/ ABAJUR, EMBALAGEM TIPO CAIXA COR PRETA  TOUCH     ;1;PC;LAMPADA;0,001;0,186;0,213;0,11;0,11;0,002577;7;100;7,90841E+12;;UNIDADE
48LUMMESAP00;48LUMMESAP00CX ;LUMINARIA LED, TIPO MESA/ ABAJUR, EMBALAGEM TIPO CAIXA COR PRETA  TOUCH     ;10;PC;LAMPADA;0,001;2,2;0,19;0,225;0,45;0,019238;7;10;7,90841E+12;;MASTER
48LUZNOT0000;48LUZNOT0000;LUZ NOTURNA / LUMINARIA DE EMERGENCIA 2 EM 1, ENTRADA 100 240 VOLTS.        ;1;PC;LAMPADA;0,001;0,063;0,1;0,14;0,03;0,00042;9;240;;;UNIDADE
48LUZNOT0000;48LUZNOT0000INNER        ;LUZ NOTURNA / LUMINARIA DE EMERGENCIA 2 EM 1, ENTRADA 100 240 VOLTS.        ;30;PC;LAMPADA;0,001;2,4;0,2;0,14;0,41;0,01148;6;14;;;INNER
48LUZNOT0000;48LUZNOT0000CX ;LUZ NOTURNA / LUMINARIA DE EMERGENCIA 2 EM 1, ENTRADA 100 240 VOLTS.        ;60;PC;LAMPADA;0,001;4,8;0,39;0,16;0,44;0,027456;3;15;;;MASTER
48PF16X16B2M;48PF16X16B2M-10 UN       ;PERFIL LED 16X16MM NA COR BRANCA CANTO C;10;PC;LAMPADA;1,8;1,8;0,06;0,11;2,07;0,013662;25;10;;;MASTER
48PF16X16B2M;48PF16X16B2MCX100        ;PERFIL LED 16X16MM NA COR BRANCA CANTO C;100;PC;LAMPADA;1,8;19,2;0,19;0,18;2,19;0,074898;5;5;;;MASTER
48PF16X16B2M;48PF16X16B2M;PERFIL LED 16X16MM NA COR BRANCA CANTO C;1;PC;LAMPADA;1,8;0,18;0,02;0,02;2;0,0008;2;8;;;UNIDADE
48PF16X16P2M;48PF16X16P2M-10 UN       ;PERFIL LED 16X16MM NA COR PRETA CANTO ;10;PC;LAMPADA;1,8;1,8;0,06;0,11;2,07;0,013662;25;10;;;MASTER
48PF16X16P2M;48PF16X16P2MCX ;PERFIL LED 16X16MM NA COR PRETA CANTO ;100;PC;LAMPADA;1,8;19,2;0,18;0,185;2,18;0,072594;5;5;;;MASTER
48PF16X16P2M;48PF16X16P2M;PERFIL LED 16X16MM NA COR PRETA CANTO ;1;PC;LAMPADA;1,8;0,18;0,02;0,02;2;0,0008;2;8;;;UNIDADE
48PF17X7B2M0;48PF17X7B2M0-10 UN       ;PERFIL LED 17X7MM NA COR BRANCA BARRA 2 ;10;PC;LAMPADA;1,8;1,8;0,06;0,11;2,07;0,013662;25;10;;;MASTER
48PF17X7B2M0;48PF17X7B2MCX100;PERFIL LED 17X7MM NA COR BRANCA BARRA 2 ;100;PC;LAMPADA;1,8;18,5;0,15;0,2;2,2;0,066;5;5;;;MASTER
48PF17X7B2M0;48PF17X7B2M0;PERFIL LED 17X7MM NA COR BRANCA BARRA 2 ;1;PC;LAMPADA;1,8;0,175;0,01;0,02;2;0,0004;2;8;;;UNIDADE
48PF17X7P2M0;48PF17X7P2M0;PERFIL LED 17X7MM NA COR PRETA BARRA 2M ;1;PC;LAMPADA;1,8;0,175;0,01;0,02;2;0,0004;50;30;;;UNIDADE
48PF17X7P2M0;48PF17X7P2M0-10 UN       ;PERFIL LED 17X7MM NA COR PRETA BARRA 2M ;10;PC;LAMPADA;1,8;1,75;0,06;0,11;2,07;0,013662;25;10;;;MASTER
