Item;SKU;Descrição;Qtd. Itens;Unid Med;Des Categoria;Peso Liquido;Peso Bruto SKU;Altura;Largura;Comprimento;Volume m3;Qtd. CX Altura;Qtd. CX Lastro;Cod. Barras;Clasificação ABC;Caixa
42FVA0001000;42FVA0001000CX;FERRO A VAPOR 1200W - 127V;12;PC;ELET - CASA;0,1;9,1;0,39;0,265;0,435;0,044957;4;9;17908412553353;B;MASTER
42FVA0002000;42FVA0002000;FERRO A VAPOR 1400W - 220V;1;PC;ELET - CASA;0,1;0,65;0,125;0,105;0,25;0,003281;8;54;7908412553387;B;UNIDADE
42FVA0002000;42FVA0002000;FERRO A VAPOR 1400W - 220V;1;PC;ELET - CASA;0,1;0,65;0,125;0,105;0,25;0,003281;8;54;42FVA0002000;B;UNIDADE
42FVA0002000;42FVA0002000CX;FERRO A VAPOR 1400W - 220V;12;PC;ELET - CASA;0,1;9,1;0,39;0,265;0,435;0,044957;4;9;17908412553384;B;MASTER
42AFG3001000;42AFG3001000;FRITADEIRA A AR AFG3001 3.5L PT 127V;1;PC;AIR FRYER;0,1;3,7;0,33;0,305;0,303;0,030497;4;8;7908412505751;A;UNIDADE
42AFG3001000;42AFG3001000;FRITADEIRA A AR AFG3001 3.5L PT 127V;1;PC;AIR FRYER;0,1;3,7;0,33;0,305;0,303;0,030497;4;8;42AFG3001000;A;UNIDADE
42AFG3001000;42AFG300100CX;FRITADEIRA A AR AFG3001 3.5L PT 127V;2;PC;AIR FRYER;0,1;7,5;0,35;0,325;0,635;0,072231;4;4;17908412505758;A;MASTER
42AFG3002000;42AFG3002000;FRITADEIRA A AR AFG3002 3.5L PT 220V;1;PC;AIR FRYER;0,1;3,7;0,33;0,305;0,303;0,030497;4;8;7908412505768;A;UNIDADE
42AFG3002000;42AFG3002000;FRITADEIRA A AR AFG3002 3.5L PT 220V;1;PC;AIR FRYER;0,1;3,7;0,33;0,305;0,303;0,030497;4;8;42AFG3002000;A;UNIDADE
42AFG3002000;42AFG3002000CX;FRITADEIRA A AR AFG3002 3.5L PT 220V;2;PC;AIR FRYER;0,1;7,5;0,355;0,33;0,625;0,073219;4;4;17908412505765;A;MASTER
42PPD1001000;42PPD1001000;PANELA PRESSAO DIG ELETR. 5L 127V;1;PC;ELET - COZINHA;1;4,5;0,32;0,3;0,3;0,0288;4;12;7908412551840;A;UNIDADE
42PPD1001000;42PPD1001000;PANELA PRESSAO DIG ELETR. 5L 127V;1;PC;ELET - COZINHA;1;4,5;0,32;0,3;0,3;0,0288;4;12;42PPD1001000;A;UNIDADE
42PPD1001000;42PPD1001000CX;PANELA PRESSAO DIG ELETR. 5L 127V;2;PC;ELET - COZINHA;1;10,5;0,35;0,32;0,63;0,07056;4;6;17908412551847;A;MASTER
42PPD1002000;42PPD1002000;PANELA PRESSAO DIG ELETR. 5L 220V;1;PC;ELET - COZINHA;1;4,5;0,32;0,3;0,3;0,0288;4;10;7908412551871;A;UNIDADE
42PPD1002000;42PPD1002000;PANELA PRESSAO DIG ELETR. 5L 220V;1;PC;ELET - COZINHA;1;4,5;0,32;0,3;0,3;0,0288;4;10;42PPD1002000;A;UNIDADE
42PPD1002000;42PPD1002000CX;PANELA PRESSAO DIG ELETR. 5L 220V;2;PC;ELET - COZINHA;1;10,5;0,35;0,315;0,63;0,069458;4;6;17908412551878;A;MASTER
42ESCB000000;42ESCB000000;ESC. SECADORA AGILER ROSE BOVOLT;1;PC;ELET - CUIDADOS PESSOAIS;1;0,000001;1;1;1;1;12;24;7908412504679;A;UNIDADE
42ESCB000000;42ESCB000000;ESC. SECADORA AGILER ROSE BOVOLT;1;PC;ELET - CUIDADOS PESSOAIS;1;0,000001;1;1;1;1;12;24;42ESCB000000;A;UNIDADE
42ESCB000000;42ESCB000000CX;ESC. SECADORA AGILER ROSE BOVOLT;12;PC;ELET - CUIDADOS PESSOAIS;1;7,24;0,345;0,38;0,393;0,051522;4;6;17908412504676;A;MASTER
42AFC8001000;42AFC8001000;AFC80 FRITADEIRA CHROME FRY 8L 127V;1;PC;AIR FRYER;0,1;7,3;0,4;0,35;0,4;0,056;4;6;7908412504563;A;UNIDADE
42AFC8001000;42AFC8001000;AFC80 FRITADEIRA CHROME FRY 8L 127V;1;PC;AIR FRYER;0,1;7,3;0,4;0,35;0,4;0,056;4;6;42AFC8001000;A;UNIDADE
42AFC8002000;42AFC8002000;AFC80 FRITADEIRA CHROME FRY 8L 220V;1;PC;AIR FRYER;0,1;7,3;0,4;0,35;0,4;0,056;4;6;7908412504570;A;UNIDADE
42AFC8002000;42AFC8002000;AFC80 FRITADEIRA CHROME FRY 8L 220V;1;PC;AIR FRYER;0,1;7,3;0,4;0,35;0,4;0,056;4;6;42AFC8002000;A;UNIDADE
42MCC30SF000;42MCC30SF000;CORTADOR STUDIO COLOR SEM FIO;1;PC;ELET - CUIDADOS PESSOAIS;0,1;0,45;0,017;0,05;0,017;0,000014;8;240;7908412504716;A;UNIDADE
42MCC30SF000;42MCC30SF000;CORTADOR STUDIO COLOR SEM FIO;1;PC;ELET - CUIDADOS PESSOAIS;0,1;0,45;0,017;0,05;0,017;0,000014;8;240;42MCC30SF000;A;UNIDADE
42MCC30SF000;42MCC30SF000CX;CORTADOR STUDIO COLOR SEM FIO;40;PC;ELET - CUIDADOS PESSOAIS;0,1;0,8;0,035;0,018;0,051;0,000032;4;10;17908412504713;A;MASTER
42SAN3X01000;42SAN3X01000;SANDUICHEIRA LUNCH TIME 127V;1;PC;ELET - COZINHA;0,1;1,15;0,239;0,095;0,245;0,055627;6;40;7908412504617;A;UNIDADE
42SAN3X01000;42SAN3X01000;SANDUICHEIRA LUNCH TIME 127V;1;PC;ELET - COZINHA;0,1;1,15;0,239;0,095;0,245;0,055627;6;40;42SAN3X01000;A;UNIDADE
42SAN3X01000;42SAN3X01000CX;SANDUICHEIRA LUNCH TIME 127V;10;PC;ELET - COZINHA;0,1;12,1;0,492;0,259;0,493;0,062822;3;8;42SAN3X01000CX;A;MASTER
42SAN3X01000;42SAN3X01000CX;SANDUICHEIRA LUNCH TIME 127V;10;PC;ELET - COZINHA;0,1;12,1;0,492;0,259;0,493;0,062822;3;8;17908412504614;A;MASTER
42SAN3X02000;42SAN3X02000;SANDUICHEIRA LUNCH TIME 220V;1;PC;ELET - COZINHA;0,1;1,1;0,0235;0,095;0,245;0,000547;6;80;7908412504624;A;UNIDADE
42SAN3X02000;42SAN3X02000;SANDUICHEIRA LUNCH TIME 220V;1;PC;ELET - COZINHA;0,1;1,1;0,0235;0,095;0,245;0,000547;6;80;42SAN3X02000;A;UNIDADE
42SAN3X02000;42SAN3X02000CX;SANDUICHEIRA LUNCH TIME 220V;10;PC;ELET - COZINHA;0,1;11,5;0,5;0,26;0,48;0,0624;3;8;42SAN3X02000CX;A;MASTER
42SAN3X02000;42SAN3X02000CX;SANDUICHEIRA LUNCH TIME 220V;10;PC;ELET - COZINHA;0,1;11,5;0,5;0,26;0,48;0,0624;3;8;17908412504621;A;MASTER
42AFG4001000;42AFG4001000;AFG40 FRITADEIRA CUBE  FRY 4L 127V;1;PC;AIR FRYER;0,1;3,8;0,326;0,315;0,315;0,032347;4;8;7908412504488;A;UNIDADE
42AFG4001000;42AFG4001000;AFG40 FRITADEIRA CUBE  FRY 4L 127V;1;PC;AIR FRYER;0,1;3,8;0,326;0,315;0,315;0,032347;4;8;42AFG4001000;A;UNIDADE
42AFG4001000;42AFG4001000CX;AFG40 FRITADEIRA CUBE  FRY 4L 127V;2;PC;AIR FRYER;0,1;8,04;0,335;0,325;0,645;0,070224;4;4;42AFG4001000CX;A;MASTER
42AFG4001000;42AFG4001000CX;AFG40 FRITADEIRA CUBE  FRY 4L 127V;2;PC;AIR FRYER;0,1;8,04;0,335;0,325;0,645;0,070224;4;4;17908412504485;A;MASTER
